Ques No.,Ques Type,Date,Ministry,Member,Subject,links
106,UNSTARRED,23.04.2015,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Guidelines for utilization of Nirbhaya Fund,https://pqars.nic.in/annex/235/Au106.docx
102,UNSTARRED,23.04.2015,WOMEN AND CHILD DEVELOPMENT,Ram Kumar Kashyap,Measures for improvement of nutrition,https://pqars.nic.in/annex/235/Au102.docx
100,UNSTARRED,23.04.2015,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,Bal Aayog in country,https://pqars.nic.in/annex/235/Au100.docx
104,UNSTARRED,23.04.2015,WOMEN AND CHILD DEVELOPMENT,Wansuk Syiem,Survey for studying Devdasi tradition,https://pqars.nic.in/annex/235/Au104.docx
94,UNSTARRED,23.04.2015,WOMEN AND CHILD DEVELOPMENT,Bhupinder Singh,Enhancement of grants under ICDS,https://pqars.nic.in/annex/235/Au94.docx
103,UNSTARRED,23.04.2015,WOMEN AND CHILD DEVELOPMENT,C.M. Ramesh,Irregularities in Sabla Scheme,https://pqars.nic.in/annex/235/Au103.docx
101,UNSTARRED,23.04.2015,WOMEN AND CHILD DEVELOPMENT,Prabhat Jha,Budget for ICDS scheme,https://pqars.nic.in/annex/235/Au101.docx
110,UNSTARRED,23.04.2015,WOMEN AND CHILD DEVELOPMENT,Prabhat Jha,Supplementary nutrition programme,https://pqars.nic.in/annex/235/Au110.docx
2549,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Vijay Jawaharlal Darda,Instances of escape from juvenile homes,https://pqars.nic.in/annex/234/Au2549.docx
2551,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Ajay Sancheti,Programme for children in naxal affected region of Maharashtra,https://pqars.nic.in/annex/234/Au2551.docx
2560,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Sanjay Dattatraya Kakade,Honorarium of Anganwadi Workers,https://pqars.nic.in/annex/234/Au2560.docx
2553,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Naznin Faruque,Budget allocation,https://pqars.nic.in/annex/234/Au2553.docx
2543,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Ravi Prakash Verma,STEP Scheme for Women,https://pqars.nic.in/annex/234/Au2543.docx
2552,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Ambeth Rajan,Welfare scheme through NGOs,https://pqars.nic.in/annex/234/Au2552.docx
2547,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Economic empowerment of rural women,https://pqars.nic.in/annex/234/Au2547.docx
2558,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Baishnab Parida,Fine for harassment of women at work place,https://pqars.nic.in/annex/234/Au2558.docx
2546,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Avinash Pande,Pepper spray for self defence,https://pqars.nic.in/annex/234/Au2546.docx
2544,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Vijaylaxmi Sadho,Residential hostel for working women,https://pqars.nic.in/annex/234/Au2544.docx
2550,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,D. Kupendra Reddy,Sexual harassment in play homes and Anganwadi centres,https://pqars.nic.in/annex/234/Au2550.docx
2545,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Gundu Sudharani,Sabla scheme in Andhra,https://pqars.nic.in/annex/234/Au2545.docx
2556,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Ritabrata Banerjee,Allocation for ICDS,https://pqars.nic.in/annex/234/Au2556.docx
2554,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Pradeep Kumar Balmuchu,Malnutrition deaths in Jharkhand,https://pqars.nic.in/annex/234/Au2554.docx
2555,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Pradeep Kumar Balmuchu,Financial assistance to NGOs for child development,https://pqars.nic.in/annex/234/Au2555.docx
2559,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,T. Rathinavel,Rewards for balanced sex ratio,https://pqars.nic.in/annex/234/Au2559.docx
2548,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,Shortage of manpower in NCPCR and SCPCR,https://pqars.nic.in/annex/234/Au2548.docx
2557,UNSTARRED,19.03.2015,WOMEN AND CHILD DEVELOPMENT,C.M. Ramesh,ICDS scheme in Andhra Pradesh,https://pqars.nic.in/annex/234/Au2557.docx
1751,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Ambika Soni,Central Social Welfare Boards in Madhya Pradesh,https://pqars.nic.in/annex/234/Au1751.docx
1752,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Rajkumar Dhoot,Anganwadis in Maharashtra,https://pqars.nic.in/annex/234/Au1752.docx
1756,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Ravi Prakash Verma,Exploitation in unregistered children homes and orphanages,https://pqars.nic.in/annex/234/Au1756.docx
1753,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Victim compensation fund under POCSO act,https://pqars.nic.in/annex/234/Au1753.docx
1754,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Orphanages in country,https://pqars.nic.in/annex/234/Au1754.docx
1757,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,P.L. Punia,Shelter homes for widows,https://pqars.nic.in/annex/234/Au1757.docx
1746,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,P. Rajeeve,Malnutrition among children,https://pqars.nic.in/annex/234/Au1746.docx
1748,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Baishnab Parida,Help for placement of girls coming to Delhi,https://pqars.nic.in/annex/234/Au1748.docx
1745,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Avinash Pande,Dereliction of duty in juvenile homes,https://pqars.nic.in/annex/234/Au1745.docx
1758,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Rajani Patil,Programmes for destitute women in country,https://pqars.nic.in/annex/234/Au1758.docx
1755,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Husain Dalwai,Crisis Management Centres in Delhi,https://pqars.nic.in/annex/234/Au1755.docx
1759,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Gundu Sudharani,National Commission for Women with powers of a criminal court,https://pqars.nic.in/annex/234/Au1759.docx
1750,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Sarojini Hembram,Easing of norms for adoption,https://pqars.nic.in/annex/234/Au1750.docx
1760,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Ram Nath Thakur,Nutrient food through Aanganwadi centres,https://pqars.nic.in/annex/234/Au1760.docx
1749,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Mahendra Singh Mahra,Kishori Shakti Yojana,https://pqars.nic.in/annex/234/Au1749.docx
1747,UNSTARRED,12.03.2015,WOMEN AND CHILD DEVELOPMENT,Mani Shankar Aiyar,Activity mapping for ICDs,https://pqars.nic.in/annex/234/Au1747.docx
37,STARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Vijay Jawaharlal Darda,Trafficking of children from West Bengal and Jharkhand,https://pqars.nic.in/annex/234/As37.docx
464,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Juvenile Police Stations,https://pqars.nic.in/annex/234/Au464.docx
466,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Vacant post for Chairperson of NCPCR,https://pqars.nic.in/annex/234/Au466.docx
473,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Inspection of children residential care facilities,https://pqars.nic.in/annex/234/Au473.docx
467,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Permanent buildings for Anganwadi Centres,https://pqars.nic.in/annex/234/Au467.docx
475,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Basic amenities for children in schools,https://pqars.nic.in/annex/234/Au475.docx
474,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Baishnab Parida,Missing children in Delhi,https://pqars.nic.in/annex/234/Au474.docx
463,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Avinash Pande,Exclusive jails for women prisoners,https://pqars.nic.in/annex/234/Au463.docx
470,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Bhushan Lal Jangde,Malnutrition in pregnant mothers in Chhattisgarh,https://pqars.nic.in/annex/234/Au470.docx
465,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Husain Dalwai,Child development in Twelfth plan,https://pqars.nic.in/annex/234/Au465.docx
480,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Ramdas Athawale,Indecent representation of women in advertisement,https://pqars.nic.in/annex/234/Au480.docx
478,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Ashk Ali Tak,Malnutrition in Rajasthan,https://pqars.nic.in/annex/234/Au478.docx
476,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Kanak Lata Singh,Rehabilitation of trafficking women victims,https://pqars.nic.in/annex/234/Au476.docx
471,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Ritabrata Banerjee,Child trafficking,https://pqars.nic.in/annex/234/Au471.docx
413,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Pradeep Kumar Balmuchu,Revamping of Rashtriya Mahila Kosh,https://pqars.nic.in/annex/234/Au413.docx
477,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Narayan Lal Panchariya,Women and child development centres in Rajasthan,https://pqars.nic.in/annex/234/Au477.docx
468,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,M.V. Rajeev Gowda,"Beti Bachao, Beti Padhao Scheme",https://pqars.nic.in/annex/234/Au468.docx
414,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Sanjay Sinh,Rehabilitation of sex workers,https://pqars.nic.in/annex/234/Au414.docx
479,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Ram Kumar Kashyap,Safeguard for rights of woman,https://pqars.nic.in/annex/234/Au479.docx
469,UNSTARRED,26.02.2015,WOMEN AND CHILD DEVELOPMENT,Mahendra Singh Mahra,Drug detoxification centres in observation homes,https://pqars.nic.in/annex/234/Au469.docx
2990,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Ahmed Patel,Nirbhaya Centres currently operational in the country,https://pqars.nic.in/annex/233/
2977,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Kanwar Deep Singh,Protection of abandoned new born girls,https://pqars.nic.in/annex/233/
2978,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Kanwar Deep Singh,Women Self Help Groups in West Bengal,https://pqars.nic.in/annex/233/Au2978.docx
327,STARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Mohsina Kidwai,Community based management programme for women and children,https://pqars.nic.in/annex/233/As327.docx
2973,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Renuka Chowdhury,Critically low child sex ratio districts,https://pqars.nic.in/annex/233/Au2973.docx
329,STARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Renuka Chowdhury,Beti Bachao Beti Padhao Scheme,https://pqars.nic.in/annex/233/As329.docx
2987,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Rajkumar Dhoot,Shortage of public utilities in Metro cities,https://pqars.nic.in/annex/233/
2988,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Rajkumar Dhoot,Child marriages in India,https://pqars.nic.in/annex/233/
322,STARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Viplove Thakur,New steps for protection of child rights in the country,https://pqars.nic.in/annex/233/As322.html
2976,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Prosecution under POCSO,https://pqars.nic.in/annex/233/Au2976.docx
2981,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,School management under POCSO Act,https://pqars.nic.in/annex/233/Au2981.docx
328,STARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Tiruchi Siva,Deaths due to malnutrition,https://pqars.nic.in/annex/233/As328.html
2974,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Baishnab Parida,Physical abuse of children,https://pqars.nic.in/annex/233/
2989,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,R. Lakshmanan,Dietary Allowance for children,https://pqars.nic.in/annex/233/Au2989.docx
2972,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,M.V. Rajeev Gowda,Stunting due to lack of sanitation,https://pqars.nic.in/annex/233/
2982,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,M.V. Rajeev Gowda,Working women hostels,https://pqars.nic.in/annex/233/
2983,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,M.V. Rajeev Gowda,Indira Gandhi Matritva Sahyog Yojana,https://pqars.nic.in/annex/233/
2971,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Vijila Sathyananth,Rajiv Gandhi Scheme for Empowerment of Adolescent Girls in Tamil Nadu,https://pqars.nic.in/annex/233/Au2971.docx
2985,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Monitoring of Juvenile Justice Act,https://pqars.nic.in/annex/233/
2979,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Mahendra Singh Mahra,Balika Samriddhi Yojana in Uttarakhand,https://pqars.nic.in/annex/233/
2986,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Bhalchandra Mungekar,Crime against women and children,https://pqars.nic.in/annex/233/Au2986.docx
2984,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Alok Tiwari,Crisis centre for women in distress,https://pqars.nic.in/annex/233/
2975,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Parimal Nathwani,Children with multiple deprivation,https://pqars.nic.in/annex/233/
2970,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Narendra Budania,Forum for Single Womens Rights,https://pqars.nic.in/annex/233/
2980,UNSTARRED,18.12.2014,WOMEN AND CHILD DEVELOPMENT,Hishey Lachungpa,Schemes for North Eastern States,https://pqars.nic.in/annex/233/
2185,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Rajkumar Dhoot,Funding through Bill Gates Foundation for malnutrition,https://pqars.nic.in/annex/233/
2188,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Kanwar Deep Singh,Measures to control anaemia amongst women and children in West Bengal,https://pqars.nic.in/annex/233/Au2188.docx
2180,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Renuka Chowdhury,Children of imprisoned parents,https://pqars.nic.in/annex/233/
259,STARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Ambeth Rajan,Quality Control Laboratories for ICDS Scheme,https://pqars.nic.in/annex/233/As259.html
2178,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Disbursal of compensation to victims of child sexual abuse,https://pqars.nic.in/annex/233/
2179,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,National Commission for Protection of Child Rights,https://pqars.nic.in/annex/233/
2177,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Kanimozhi,Sexual violence in juvenile homes,https://pqars.nic.in/annex/233/Au2177.docx
2181,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Mohd. Ali Khan,Funds for welfare of children and women,https://pqars.nic.in/annex/233/
2190,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,D. Kupendra Reddy,Child sex abuse,https://pqars.nic.in/annex/233/Au2190.docx
2176,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Bhushan Lal Jangde,Sabla and Anganwadi Yojana in Chhattisgarh,https://pqars.nic.in/annex/233/
2189,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Prabhat Jha,Women in India store in every State,https://pqars.nic.in/annex/233/
258,STARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Ritabrata Banerjee,Toilets in Anganwadi Centres,https://pqars.nic.in/annex/233/As258.docx
2183,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Sanjay Sinh,Malnourished children in Uttar Pradesh and Assam,https://pqars.nic.in/annex/233/Au2183.docx
2184,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,NRI Cell of National Commission for Women,https://pqars.nic.in/annex/233/
2186,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Implementation of Sexual Harassment at Work Place Act,https://pqars.nic.in/annex/233/
2187,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Implementation of Domestic Violence Act,https://pqars.nic.in/annex/233/Au2187.docx
2182,UNSTARRED,11.12.2014,WOMEN AND CHILD DEVELOPMENT,Bhupinder Singh,Maternity benefits to women in Odisha,https://pqars.nic.in/annex/233/
1392,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Kanwar Deep Singh,Abuse of children in orphanages,https://pqars.nic.in/annex/233/Au1392.docx
1393,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Kanwar Deep Singh,Rehabilitation of rape victims,https://pqars.nic.in/annex/233/Au1393.docx
162,STARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Jesudasu Seelam,Implementation of the ICDS scheme,https://pqars.nic.in/annex/233/As162.html
1381,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Special Juvenile Police Units,https://pqars.nic.in/annex/233/
161,STARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Protection Programme under the POCSO Act,https://pqars.nic.in/annex/233/As161.html
1383,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Tiruchi Siva,Substance abuse among street children,https://pqars.nic.in/annex/233/
1386,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Ishwarlal Shankarlal Jain,Exploitation of girls in nursery and play schools,https://pqars.nic.in/annex/233/
1387,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Ishwarlal Shankarlal Jain,Awareness programme against discrimination of girl child,https://pqars.nic.in/annex/233/
1389,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,M.P. Achuthan,Surrogacy as a Commercial Industry,https://pqars.nic.in/annex/233/
1382,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Baishnab Parida,Crime against women in India,https://pqars.nic.in/annex/233/
166,STARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,Convergence of Early Childhood Education with primary education,https://pqars.nic.in/annex/233/As166.html
1391,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Palvai Govardhan Reddy,Reducing age of Juvenile,https://pqars.nic.in/annex/233/
1388,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Kalpataru Das,Central schemes in Odisha,https://pqars.nic.in/annex/233/
1390,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Vijila Sathyananth,Protection of women and girl children,https://pqars.nic.in/annex/233/
1395,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Garikapati Mohan Rao,Street children in country,https://pqars.nic.in/annex/233/
1384,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Arvind Kumar Singh,Atrocities on women in Nalanda district,https://pqars.nic.in/annex/233/
1394,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,K.C. Tyagi,Schemes for development of women and child,https://pqars.nic.in/annex/233/
163,STARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Naresh Gujral,Implementation of the ICDS scheme,https://pqars.nic.in/annex/233/As163.html
1385,UNSTARRED,04.12.2014,WOMEN AND CHILD DEVELOPMENT,Dilip Kumar Tirkey,Scrutiny before adoption,https://pqars.nic.in/annex/233/
618,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Rajeev Shukla,National Campaign for girl child,https://pqars.nic.in/annex/233/
620,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Renuka Chowdhury,Rajiv Gandhi Scheme for Empowerment of Adolescent Girls,https://pqars.nic.in/annex/233/Au620.docx
79,STARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Motilal Vora,Condition of juvenile homes,https://pqars.nic.in/annex/233/As79.docx
604,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,T.N. Seema,Funds for National Nutrition Mission,https://pqars.nic.in/annex/233/Au604.docx
615,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Childrens Residential Care facilities,https://pqars.nic.in/annex/233/
611,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Baishnab Parida,One stop women protection centres,https://pqars.nic.in/annex/233/
619,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Pankaj Bora,Crime against women by Juveniles,https://pqars.nic.in/annex/233/
616,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,National Mission for Empowerment of Women,https://pqars.nic.in/annex/233/
603,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Husain Dalwai,Gender based inequities,https://pqars.nic.in/annex/233/
605,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Kanak Lata Singh,Condition of working women,https://pqars.nic.in/annex/233/
609,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,M.V. Rajeev Gowda,Social audit of Children Homes,https://pqars.nic.in/annex/233/
610,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,M.V. Rajeev Gowda,Observation and Children Homes,https://pqars.nic.in/annex/233/
614,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Ranjib Biswal,Guidelines for adoption,https://pqars.nic.in/annex/233/
608,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Gundu Sudharani,Nirbhaya Centres,https://pqars.nic.in/annex/233/
607,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Vijila Sathyananth,Protection of street children,https://pqars.nic.in/annex/233/
602,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Wansuk Syiem,Rehabilitation of sex workers,https://pqars.nic.in/annex/233/
601,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,A.U. Singh Deo,Study to monitor malnutrition,https://pqars.nic.in/annex/233/
613,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,A.U. Singh Deo,Programmes against malnutrition,https://pqars.nic.in/annex/233/Au613.docx
606,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Lal Sinh Vadodia,Welfare of destitute children,https://pqars.nic.in/annex/233/
617,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,C.M. Ramesh,Guidelines for POCSO Act 2012,https://pqars.nic.in/annex/233/
612,UNSTARRED,27.11.2014,WOMEN AND CHILD DEVELOPMENT,Jugul Kishore,Orphanages in Uttar Pradesh,https://pqars.nic.in/annex/233/
3937,UNSTARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,Vijay Jawaharlal Darda,Advisories for missing children,https://pqars.nic.in/annex/232/Au3937.docx
3938,UNSTARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,Vijay Jawaharlal Darda,Malnutrition in Vidarbha region,https://pqars.nic.in/annex/232/Au3938.docx
3935,UNSTARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,T. Subbarami Reddy,Gender Development Index,https://pqars.nic.in/annex/232/
524,STARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,G. N. Ratanpuri,Widow and orphans in J and K,https://pqars.nic.in/annex/232/As524.html
523,STARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,Saif-ud-Din Soz,Schemes for J and K,https://pqars.nic.in/annex/232/As523.html
534,STARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,K.P. Ramalingam,Amendments in the Juvenile Justice Act,https://pqars.nic.in/annex/232/As534.html
3932,UNSTARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,A. W. Rabi Bernard,Inter country adoption,https://pqars.nic.in/annex/232/
3931,UNSTARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,Avinash Pande,UN Convention on the Rights of Child and proposal for reducing the age of juvenile,https://pqars.nic.in/annex/232/
3930,UNSTARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,Baishnab Parida,Institutes for children of beggars,https://pqars.nic.in/annex/232/
3934,UNSTARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,Kalpataru Das,Status of malnutrition among children,https://pqars.nic.in/annex/232/
3933,UNSTARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,Mahendra Singh Mahra,Malnutrition in children,https://pqars.nic.in/annex/232/Au3933.docx
3936,UNSTARRED,14.08.2014,WOMEN AND CHILD DEVELOPMENT,Lal Sinh Vadodia,Anganwadi in Gujarat,https://pqars.nic.in/annex/232/Au3936.docx
3225,UNSTARRED,07.08.2014,WOMEN AND CHILD DEVELOPMENT,Rajkumar Dhoot,Self defence training to women in Maharashtra,https://pqars.nic.in/annex/232/
438,STARRED,07.08.2014,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Women and child helplines,https://pqars.nic.in/annex/232/As438.html
3218,UNSTARRED,07.08.2014,WOMEN AND CHILD DEVELOPMENT,Ishwarlal Shankarlal Jain,Girls missing from Juvenile homes,https://pqars.nic.in/annex/232/Au3218.docx
3216,UNSTARRED,07.08.2014,WOMEN AND CHILD DEVELOPMENT,Narendra Kumar Kashyap,Exploitation of women due to poverty,https://pqars.nic.in/annex/232/Au3216.docx
440,STARRED,07.08.2014,WOMEN AND CHILD DEVELOPMENT,Pankaj Bora,Women Protection Centres,https://pqars.nic.in/annex/232/As440.html
3222,UNSTARRED,07.08.2014,WOMEN AND CHILD DEVELOPMENT,Mohd. Ali Khan,Concern of NCW over safety of women,https://pqars.nic.in/annex/232/
436,STARRED,07.08.2014,WOMEN AND CHILD DEVELOPMENT,Gundu Sudharani,"Amendment in the Protection of Women against Domestic Violence Act, 2005",https://pqars.nic.in/annex/232/As436.html
3219,UNSTARRED,07.08.2014,WOMEN AND CHILD DEVELOPMENT,R. Lakshmanan,Multi Sectoral Nutrition Programme,https://pqars.nic.in/annex/232/
3223,UNSTARRED,07.08.2014,WOMEN AND CHILD DEVELOPMENT,R. Lakshmanan,Indira Gandhi Matritva Sahyog Yojana,https://pqars.nic.in/annex/232/
